('1100', '1337', 0.9714236855506897)
('1453', '705', 0.9701564908027649)
('1453', '25', 0.9706243872642517)
('1453', '769', 0.9789692759513855)
('481', '784', 0.9756655693054199)
('481', '1403', 0.9706833362579346)
('481', '1631', 0.9794146418571472)
('481', '1547', 0.9714621901512146)
('481', '2149', 0.9757066369056702)
('481', '1643', 0.9736593961715698)
('481', '258', 0.974725604057312)
('481', '874', 0.9729560613632202)
('481', '1208', 0.9704887270927429)
('481', '1539', 0.9733912348747253)
('481', '1470', 0.971362292766571)
('481', '1653', 0.9753204584121704)
('481', '522', 0.9738048911094666)
('481', '945', 0.97142094373703)
('481', '1005', 0.9709630608558655)
('481', '1187', 0.9744853377342224)
('481', '587', 0.9745940566062927)
('138', '1251', 0.9742258191108704)
('138', '801', 0.9738591313362122)
('138', '2911', 0.9733951091766357)
('138', '1856', 0.9717175960540771)
('138', '1403', 0.9776386022567749)
('138', '323', 0.9812183380126953)
('138', '239', 0.9701026678085327)
('138', '1726', 0.9775105714797974)
('138', '362', 0.9777818322181702)
('138', '1220', 0.9715491533279419)
('138', '1647', 0.9803215265274048)
('138', '1600', 0.9750874638557434)
('138', '1148', 0.9821168184280396)
('138', '942', 0.9724998474121094)
('138', '1021', 0.9803587794303894)
('138', '1187', 0.9768183827400208)
('138', '44', 0.9811934232711792)
('138', '678', 0.9712429642677307)
('138', '1316', 0.9710726141929626)
('1844', '1678', 0.9801937341690063)
('1844', '1531', 0.9720105528831482)
('52', '501', 0.9709344506263733)
('52', '1221', 0.9712583422660828)
('52', '1324', 0.9715391397476196)
('52', '1360', 0.9800034761428833)
('52', '296', 0.9812229871749878)
('52', '2468', 0.9724392890930176)
('52', '704', 0.9711885452270508)
('52', '1403', 0.9821240901947021)
('52', '1449', 0.9747530221939087)
('52', '956', 0.9720157980918884)
('52', '715', 0.9839590787887573)
('52', '994', 0.9703919887542725)
('52', '855', 0.9784961342811584)
('52', '969', 0.9721812009811401)
('52', '1470', 0.9746765494346619)
('52', '129', 0.9807348251342773)
('52', '1939', 0.9701250195503235)
('52', '1407', 0.9761448502540588)
('52', '119', 0.9721186757087708)
('52', '8', 0.9728184938430786)
('52', '778', 0.9735747575759888)
('52', '1148', 0.9711446166038513)
('52', '1021', 0.9760697484016418)
('52', '1901', 0.9703577160835266)
('2920', '497', 0.9704767465591431)
('383', '2964', 0.9737635850906372)
('1553', '1551', 0.9835563898086548)
('1845', '857', 0.9835646152496338)
('1845', '1821', 0.984627902507782)
('1845', '2912', 0.9767086505889893)
('1845', '296', 0.9714695811271667)
('1845', '2468', 0.9739311337471008)
('1845', '704', 0.9792583584785461)
('1845', '806', 0.9821714162826538)
('1845', '1395', 0.9816620945930481)
('1845', '586', 0.9821426868438721)
('1845', '855', 0.9759762287139893)
('1845', '1388', 0.9849202036857605)
('1845', '1470', 0.9797771573066711)
('1845', '1793', 0.9809918999671936)
('1845', '889', 0.9713866114616394)
('1845', '476', 0.9807579517364502)
('1845', '1321', 0.9774295091629028)
('1845', '1600', 0.970912754535675)
('1845', '2876', 0.9877878427505493)
('1845', '851', 0.9713925719261169)
('1551', '2017', 0.970950722694397)
('1551', '3303', 0.9711354970932007)
