Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
wipe	1454	WIPE	verb	19
touch	1892	TOUCH	verb	19
hour	1353	HOUR	noun	19
snow	784	SNOW	noun	19
sky	1732	SKY	noun	19
hair	1040	HAIR	noun	19
key	1472	KEY	noun	19
five	493	FIVE	numeral	19
swing	2871	SWING (MOVEMENT)	verb	19
drive	741	DRIVE	verb	19
search	1468	LOOK FOR	verb	19
dip	3697	DIP	verb	19
ground	2159	GROUND	noun	19
fork	1302	FORK	noun	19
road	667	ROAD	noun	19
abandon	1097	ABANDON	noun	19
mine	2090	MY	other	19
half	816	HALF	noun	19
edge	863	EDGE	noun	19
pit	2539	PIT (POTHOLE)	noun	19
bag	2468	BAG	noun	19
watch	1650	WATCH	verb	19
dry	1398	DRY	adjective	19
dust	2	DUST	noun	19
soft	1856	SOFT	adjective	19
twice	1546	TWICE	other	19
ache	1815	ACHE	verb	19
drag	2030	DRAG	verb	19
die	1494	DIE	verb	19
wind	960	WIND	noun	19
kneel	66	KNEEL	verb	19
corpse	767	CORPSE	noun	19
hang	2884	HANG	verb	19
drop	750	DROP	verb	19
push	1452	PUSH	verb	19
hole	1667	HOLE	noun	19
beam	1132	BEAM	noun	19
twelve	1707	TWELVE	numeral	19
fifteen	1709	FIFTEEN	numeral	19
enough	1881	ENOUGH	other	19
enter	749	ENTER	verb	19
winter	1471	WINTER	noun	19
intact	220	INTACT	adjective	19
spring	1537	SPRINGTIME	noun	19
skeleton	2668	SKELETON	noun	19
thigh	800	THIGH	noun	19
stain	3064	RUST	noun	19
clean	704	CLEAN	adjective	19
oil	1484	OIL (ORGANIC SUBSTANCE)	noun	19
nail	1896	FINGERNAIL OR TOENAIL	noun	19
wheel	710	WHEEL	noun	19
tire	1996	GET TIRED	verb	19
mark	1720	SIGN	noun	19
judge	861	JUDGE	noun	19
read	724	READ	verb	19
seek	1468	LOOK FOR	verb	19
voice	1363	VOICE	noun	19
bite	1403	BITE	verb	19
convey	2898	CONVEY (A MESSAGE)	verb	19
miss	161	MISS (A TARGET)	verb	19
wither	2907	ROT	verb	19
stick	1295	STICK	noun	19
glad	1495	HAPPY	adjective	19
rub	1449	RUB	verb	19
endure	833	ENDURE	verb	19
guilt	134	FAULT	noun	19
crime	1066	CRIME	noun	19
lady	2471	LADY	noun	19
punishment	390	PUNISHMENT	noun	19
steal	713	STEAL	verb	19
plane	1597	AIRPLANE	noun	19
sin	2971	SIN	noun	19
convict	983	CONVICT	verb	19
frighten	252	FRIGHTEN	verb	19
stretch	214	STRETCH	verb	19
ankle	803	ANKLE	noun	19
pull	1455	PULL	verb	19
pork	2769	PORK	noun	19
guilty	1682	GUILTY	adjective	19
graveyard	3284	GRAVEYARD	noun	19
flee	956	FLEE	verb	19
table	1775	TABLE	noun	19
soldier	1941	SOLDIER	noun	19
pair	1888	PAIR	noun	19
forge	288	FORGE	verb	19
mend	2243	REPAIR	verb	19
alter	2856	CHANGE (SOMETHING)	verb	19
